Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),Gesture
6.995827,0.5382376626,-2.78018966,2.194274093,3.582456297,Go Away
7.005805,0.5322646953,-2.683791878,1.96689985,3.369679446,Go Away
7.015782,1.042271453,-2.544390748,1.839109536,3.307956763,Go Away
7.02576,1.740134156,-2.506190304,1.738567833,3.511648449,Go Away
7.035738,2.088115261,-2.735354379,1.701497947,3.838943109,Go Away
7.045715,1.989429026,-3.106468971,1.715012032,4.068076153,Go Away
7.055693,1.733310747,-3.084310362,1.544956582,3.860599357,Go Away
7.065671,1.281584833,-2.949480001,1.415496889,3.513619701,Go Away
7.075649,0.6027235343,-2.992759922,1.398207549,3.357807612,Go Away
7.085626,-0.123077019,-3.187425426,1.717274027,3.622686694,Go Away
7.095604,-0.6266541414,-3.307669907,2.1426309,3.990519114,Go Away
7.105582,-0.8484268981,-3.210016728,2.282938932,4.029372875,Go Away
7.115559,-1.007983965,-2.941157075,2.057992161,3.728507522,Go Away
7.125537,-1.321238018,-2.700907847,1.553263137,3.384257595,Go Away
7.135515,-1.83002998,-2.681809087,0.9341523421,3.378424234,Go Away
7.145493,-2.305580813,-2.492523606,0.3651027766,3.414919743,Go Away
7.15547,-2.69480657,-2.096241429,-0.1245877934,3.416391766,Go Away
7.165448,-3.111778535,-1.743517501,-0.5059116232,3.602633134,Go Away
7.175426,-3.755565457,-1.584011305,-0.7445768398,4.143399375,Go Away
7.185403,-4.363698689,-1.480063013,-0.8555809665,4.686626885,Go Away
7.195381,-4.849342693,-1.192926133,-1.033386024,5.099714108,Go Away
7.205359,-5.145961418,-0.9454386377,-1.244205337,5.377994055,Go Away
7.215337,-5.12529268,-0.7296699482,-1.483725709,5.385395554,Go Away
7.225314,-4.966355419,-0.6709791058,-1.51509339,5.235494923,Go Away
7.235292,-4.817315154,-0.7287794173,-1.273899545,5.035917472,Go Away
7.24527,-4.642022061,-0.6860573208,-1.020624475,4.802157617,Go Away
7.255247,-4.603925697,-0.5997085637,-0.9126170468,4.731664829,Go Away
7.265225,-4.795151283,-0.5478583789,-0.9846085507,4.925756656,Go Away
7.275203,-5.055910204,-0.5669857907,-1.201181817,5.227479186,Go Away
7.28518,-5.278051774,-0.5109384745,-1.50058791,5.510957515,Go Away
7.295158,-5.401894047,-0.401597296,-1.673670171,5.669471891,Go Away
7.305136,-5.489936158,-0.411009559,-1.681354582,5.756325313,Go Away
7.315114,-5.657206287,-0.4516319203,-1.606539457,5.898213576,Go Away
7.325091,-5.938524018,-0.4079654986,-1.54590003,6.149984574,Go Away
7.335068833,-6.336407747,-0.4203528249,-1.571016453,6.54177746,Go Away
7.345046833,-6.943778502,-0.5851244384,-1.746559222,7.183933436,Go Away
7.355023833,-7.765754351,-0.7320953733,-2.018231387,8.057056671,Go Away
7.365001833,-8.533030667,-0.9100173748,-2.27086297,8.87679912,Go Away
7.374979833,-9.12128512,-1.098995876,-2.467320353,9.512796849,Go Away
7.384957833,-9.43357906,-1.322400445,-2.49102438,9.846134231,Go Away
7.394934833,-9.413264664,-1.651292877,-2.276016414,9.824284733,Go Away
7.404912833,-9.200074596,-1.906274164,-2.092752981,9.625739909,Go Away
7.414890833,-8.984348007,-2.216642032,-2.094688994,9.487872943,Go Away
7.424867833,-8.702263706,-2.577492421,-2.182944528,9.334779461,Go Away
7.434845833,-8.431558086,-2.906404148,-2.287279905,9.207062843,Go Away
7.444823833,-8.10417599,-3.230455086,-2.244164583,9.008317447,Go Away
7.454801833,-7.682676526,-3.565216368,-1.978583171,8.697647827,Go Away
7.464778833,-7.363974037,-3.885030413,-1.520714026,8.463695769,Go Away
